url;Publishing Date;Title / Article;Author
https://thecorrespondent.com/65/how-to-say-black-without-saying-black/8604964940-82876af5;2019-10-14T15:00:02+00:00;How to say black without saying black;Tanmoy Goswami
https://thecorrespondent.com/66/finding-popularity-in-the-face-of-prejudice/71805541104-90667f4d;2019-10-15T10:00:03+00:00;Finding popularity in the face of prejudice;Felipe Maia Ferreira
https://thecorrespondent.com/67/a-global-conversation-with-young-climate-activists/8870248255-d22121aa;2019-10-17T10:00:03+00:00;A global conversation with young climate activists;Nabeelah Shabbir
https://thecorrespondent.com/68/what-do-we-do-with-our-colonial-relics/74070700000-d6282900;2019-10-14T10:00:03+00:00;What do we do with our colonial relics?;Elliot Ross
https://thecorrespondent.com/69/bouncing-around/9134324397-973c43b9;2019-10-15T15:00:02+00:00;Bouncing around;Irene Caselli
https://thecorrespondent.com/70/an-athenian-remedy-the-rise-fall-and-possible-rebirth-of-democracy/267859130-689a1a1a;2019-10-16T10:00:02+00:00;An Athenian remedy: the rise, fall and possible rebirth of democracy;Patrick Chalmers
https://thecorrespondent.com/71/banking-on-ai-to-fix-all-our-problems-hate-to-disappoint-you/9390534692-c20e6a6d;2019-10-17T10:00:04+00:00;Banking on AI to fix all our problems? Hate to disappoint you;Sanne Blauw
https://thecorrespondent.com/72/rage-filled-with-love/9531838008-e2e20f64;2019-10-17T15:00:02+00:00;“Rage, filled with love.”;Eric Holthaus
https://thecorrespondent.com/73/can-guilt-and-shame-ever-be-positive/9664037548-485c0f69;2019-10-18T10:00:03+00:00;Can guilt and shame ever be positive?;Tanmoy Goswami
https://thecorrespondent.com/74/on-tindering-at-conferences-and-the-hype-around-ai/9787317848-831bdef5;2019-10-17T14:18:56+00:00;On Tindering at conferences and the hype around AI;Sanne Blauw
https://thecorrespondent.com/75/too-many-graves/9928421250-20febe3a;2019-10-18T15:00:02+00:00;Too Many Graves;OluTimehin Adegbeye
https://thecorrespondent.com/76/tracking-the-european-unions-migration-millions/10050866012-aa37e0cb;2019-10-21T10:12:01+00:00;Tracking the European Union’s migration millions;Maite Vermeulen
https://thecorrespondent.com/77/bookmark-this-journey-to-the-microcosmos-and-five-other-stories-for-your-weekend/631523200-8df9031d;2019-10-18T15:00:04+00:00;Bookmark this! Journey to the microcosmos – and five other stories for your weekend;Eliza Anyangwe
https://thecorrespondent.com/78/hunger-and-unhappiness/10325957928-3a2443c7;2019-10-21T15:00:02+00:00;Hunger and unhappiness;Tanmoy Goswami
https://thecorrespondent.com/79/death-is-a-good-way-to-gauge-who-we-think-deserves-to-live/10457937050-0859a8c6;2019-10-22T10:04:09+00:00;Death is a good way to gauge who we think deserves to live;OluTimehin Adegbeye
https://thecorrespondent.com/80/fathering/10590521040-a4a5ab13;2019-10-22T15:00:02+00:00;Fathering;Irene Caselli
https://thecorrespondent.com/81/children-are-a-quarter-of-the-worlds-population-imagine-urban-planning-from-their-point-of-view/10722902553-6c5669e4;2019-10-23T10:00:02+00:00;Children are a quarter of the world’s population. Imagine urban planning from their point of view;Irene Caselli
